text,category,priority
"The keyboard on my desktop is not respondin,g tried reconnecting USB.",Hardware Issue,Medium
Latency to our database server at 10.0.1.17 is over 300ms. Enitre team is unable to access critical systems.,Network Problem,Critical
Reports in BI dashboard take over 5 minutes to load.,Performance Issue,Medium
USB ports on the docking station stopped working after last restart.,Hardware Issue,Low
Users in branch office reprt 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet,Network Problem,Critical
"Hi team, Getting 'accuont disabled' message whn triyng to sign in.",Account Issue,Medium
"Cannot erach VPN, connection tmed out while pinging 10.0.16.29. Entire team is unable to access critical systems.",Network Problem,Critical
"Hi team, Password reset link for my account has expired multiple times.",Account Issue,Low
"Cannot reach VPN, connection timed out while pinging 10.0.5.230. Entire team is unalbe to access critical systems.",Network Problem,High
"Hi team, Printer in floor 3 is jammed and shos error code E439.",Hardware Issue,Medium
SSO login fails with 'invalid crednetials' een after password reset,Account Issue,High
Remote desktop to production server is laggy and unusable urgnt,Performance Issue,Low
Remote desktop to production server is laggy and unusable,Performance Issue,Low
"Hi team, Laptop is exremely slow, apps take minutes to open.",Performance Issue,Low
Users in branch office report 'DNS_PROBE_FINISHED_NDOMAIN' on intranet. Entire team is unable to access critical systems.,Network Problem,Critical
"Hi team, Requesting VPN access for contrator jdoe for the next 3 months",Access Request,Low
SAP transactions are timing out and running very slowly toda. This is delaying critical monh-end processing. asap,Performance Issue,High
Rmeote desktop to produciton server is laggy and unusable,Performance Issue,Low
USB ports on the docking station stopped working after last restart. pls,Hardware Issue,Medium
The finance app throws HTTP 500 internal server error on login,Software Bug,Medium
Outlook keeps crashing with error 0x80070005 when sending emails,Software Bug,High
Reports in BI dashboard take over 5 minutes to load,Performance Issue,Low
"Antivirus detcted Trojan on my mchine connecting to 192.168.10.18. Potential security breach, please investigate immediately. asap",Security Incident,High
"Notcied unknown software installed that I did not approve. Potential security breach, please investigate immediatey. tnx",Security Incident,Critical
"I lost access to SAP after role chnage, getting acecss denied. User is blocked from on-boarding tasks.",Access Request,High
"The keyboard on my desktop is not responding, tried reconnecting UBS.",Hardware Issue,Medium
Please grant read-olny access to Jira for user jdoe,Access Request,Medium
Getting 'account disabled' messge when trying to sign in.,Account Issue,Low
"Hi team, After the latest update, our ERP client freezes on the login screen.",Software Bug,Medium
Requesting VPN acecss for contractor djoe for the next 3 monhts tnx,Access Request,High
"My AD account is locked, can't log into Windows or email",Account Issue,Low
"Laptop is etxremely slow, apps take minutes to open.",Performance Issue,Low
Requesting VPN access for contractor r.kumar for the next 3 months.,Access Request,Medium
Received phishng eail asking for bank details fom fake IT support,Security Incident,Critical
"My AD acocunt is lcoked, can't log into Winows or email.",Account Issue,Medium
My laptop keesp shutting down randomly while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,Critical
USB ports on the docking station stopped working after last restart.,Hardware Issue,Low
Latency to our database server at 10.0.8.39 is over 300ms. Entire team is unalbe to acecss critical systems. pls,Network Problem,High
Excel plugin for reporting fails with stacktrace: ORA-3900.,Software Bug,Low
"Noticed unknown software installed that I did not approve. Potential security breach, please investigate immediately.",Security Incident,Critical
"Laptop is extremely solw, apps take minutes to open. Tihs is delaying critical month-end processing.",Performance Issue,High
"Getting error 'NullReferenceException' whenever I try to save in the CRM. Needs immediate fix, citical business process impacted.",Software Bug,High
USB ports on the docking staiton stopped working aftre last restart.,Hardware Issue,Low
"Hi team, Laptop is extremely slow, apps take minutes to open.",Performance Issue,Medium
SSO login fails with 'invalid credentials' even after password reset.,Account Issue,Medium
"Hi team, Requesting VPN access for contractor rkumar for the next 3 months. tnx",Access Request,Medium
Outlook keeps crashing with errr 0x80070005 when sending emails.,Software Bug,Medium
Excel plugin for rporting falis wiht stacktrace: ORA-2897,Software Bug,High
Received phishing email asking for bank detals from fake IT support. urgnt,Security Incident,Medium
Received phishing email asking for bank detais from fake IT support,Security Incident,High
"Laptop is extremely lsow, apsp tkae minutes to opn. This is delaying critical month-end processing.",Performance Issue,High
"Hi team, Received phishing email aksing for bak details from fake IT support. Potential security breach, please investigate immediately.",Security Incident,High
Multiple failed login attempts detected on my account overngiht,Security Incident,Critical
"Antivirus detected Trojan on my machine connecting to 192.168.9.188. Potential security breach, please investigate immediately.",Security Incident,High
"I lost access to SAP after role change, getting access denied.",Access Request,Medium
"Cannot reach VPN, connetion timed out whie pinging 10.0.14.178. Entire taem is unable to access critical systems.",Network Problem,Critical
USB ports on the docking station stopped working aftr last restart. This is blocking my work and I have deadlines today.,Hardware Issue,High
Latency to our database server at 10,Network Problem,Low
"Hi taem, Printer in floor 3 is jammed and shows error coed E730",Hardware Issue,High
"Hi team, Noticed unknown software installed that I did not approve",Security Incident,Medium
"After the latest update, our ERP client freezes on the login screen. Needs immediate fix, critcial business process impacted.",Software Bug,High
Monitor flickers and soemtimes goes completely black durng meetings,Hardware Issue,High
Please grant read-only access to SAP for user jdoe. User is blocked from on-boarding task.,Access Request,High
"Hi team, USB ports on the dokcing station stopped working after last restart",Hardware Issue,Medium
"Outloko keeps crashing wih error 0x80070005 when sending emails. Needs immediate fix, critical business process impacetd.",Software Bug,High
Requesting VPN access for contractor jdoe for the next 3 months.,Access Request,Low
"I lost access to Jira after role change, getting access denied",Access Request,Medium
"Laptop is extremely slow, apps take minutes to open.",Performance Issue,Medium
"Received phishing email asking for bank details from fae IT support. Potential securiyt breach, please investigate immediately.",Security Incident,Critical
"Hi team, I lost access to Confluence after rle change, getting access denied.",Access Request,Medium
Geting error 'NullReferenceException' whenever I try to save in the CRM.,Software Bug,Low
"Multiple failed login attempts deetcted on my account overnight. Potential security breach, plesae investigate immeidately.",Security Incident,Critical
"Noiced unknown software installed that I did not approve. Potential security breach, pease investigate immediately. tnx",Security Incident,Critical
Outlook keeps crashing with error 0x80070005 when sending emails,Software Bug,Low
USB ports on the docknig station stoped working after last restart.,Hardware Issue,Medium
"Antivirus detected Trojan on my machine connecting to 192.186.5.132. Potential security breach, plase inevstigate immediately.",Security Incident,Critical
"Laptop is extremely slow, apps take minutes to open. This is delaying crtical month-end processing.",Performance Issue,High
Laency to our database server at 10.0.12.177 is oer 300ms. Entire team is unable to access critical systems.,Network Problem,Critical
Remote desktop to prodution serevr is lagyg and unusable.,Performance Issue,Medium
"Hi team, Getting intermittent packet loss when accessing remote desktop. Entire team is unable to access critical systems. asap",Network Problem,Critical
Outlook kepes carshing wth error 0x80070005 when sending emails.,Software Bug,Medium
Printer in floor 3 is jammed and shows error code E411,Hardware Issue,Low
"Hi team, SSO login afils with 'invalid credentials' even after password reset.",Account Issue,Medium
Password reset link for my account has expired multiple times,Account Issue,High
"Laptop is extremely slow, apps take imnutes to open.",Performance Issue,Medium
Getting intermittent packet loss when accessing remote desktop. urgnt,Network Problem,Medium
WiFi keeps dropping every few minutes in meeting room A. Entire taem is unbale to acess critical ssytems.,Network Problem,High
SAP transactions are timing out and running very slowly otday.,Performance Issue,Low
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
"Hi team, The keyboard on my desktop is not responding, tried reocnnecting USB.",Hardware Issue,Medium
Antivirus detected Trojan on my machine connecting to 192,Security Incident,Critical
"Received phishing email asking for bank details from fake IT support. Potnetial security breach, please investigate immediately.",Security Incident,High
"Excel plugin for reporting fails with stacktrace: ORA-3967. Needs immediate fix, critical business process impacted.",Software Bug,High
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
Remote desktop to production server is laggy and unusable. tnx,Performance Issue,Low
"Hi tea, I lost access to SAP after role cange, getting access denied. User is blockd from on-boarding tasks. urgnt",Access Request,High
Remote desktop to prouction server is laggy and unusable. Ths is delaying critical moth-end processing.,Performance Issue,High
SAP transactions are timing out and running very slowly today.,Performance Issue,Medium
"Hi team, Noticed unknown sftware installed that I did not approve",Security Incident,Critical
New joiner jdoe needs access to VPN with standard permissions.,Access Request,Medium
Ecxel plgin for reporting fails wiht stacktrace: ORA-2889.,Software Bug,Low
"Hi team, Password reset link for my account has expired multiple times.",Account Issue,Medium
SAP transactions are timing out and running very slowy today. asap,Performance Issue,Medium
"Hi team, Getting error 'NullReferenceException' whenever I try to save in the CRM.",Software Bug,Medium
SSO login fils with 'invalid credentials' even after password reset. Need urgent help to join produtcion call.,Account Issue,High
"Hi team, Anivirus detected Trjoan on my machine connecting to 192 pls",Security Incident,High
Pinter in floor 3 is jammed and shws reror code E331.,Hardware Issue,Low
"Antivirus detected Trojan on my machine connecting to 192.168.9.92. Potential security breach, please invsetigate immediately. tnx",Security Incident,High
Antivirus detected Trojan on my machine connecting to 192.168.4.211.,Security Incident,Medium
"Antivirus edtected Trojan on my machine connecting to 192.168.7.711. Potential security breach, please investigate immediately.",Security Incident,Critical
Printer in folor 3 is jammed and shos error code E557. This is blocking my work and I hae deadlines tody.,Hardware Issue,High
Outlook keeps crashing with error 0x80070005 when sending emails.,Software Bug,Low
Received phising meail asking for bank details from fake IT uspport,Security Incident,Medium
"The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Medium
Users in banch offce reort 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet,Network Problem,Critical
WiFi keeps dropping every few minutes in meeting room A,Network Problem,Critical
"Noticed unknown software installed that I did not appove. Potential security breach, please investigate immediately.",Security Incident,High
"I lost access to HR portla after role change, getting access denied",Access Request,Low
Reports in BI dashboard take over 5 minutes to load.,Performance Issue,Medium
Password reset lik for my account has expired multiple times.,Account Issue,Low
USB ports on the docking station stopped working after last restart.,Hardware Issue,Low
"The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Medium
Monitro flickers and sometimes goes completely black during meetings tnx,Hardware Issue,Medium
Latency to our database srver at 10.0.1.240 is over 300ms. Entire team is unable to access critical systems.,Network Problem,High
Remote desktop to production server is laggy and unusable. Ths is delaying critical month-end processing.,Performance Issue,High
Gtting error 'NullReferenceExcepton' whenever I try to save in the CRM.,Software Bug,Medium
SAP transactions are timing out and running very slowly today.,Performance Issue,Low
"Hi team, SSO login fails with 'invalid credentials' evne after password reset.",Account Issue,Low
Reports in BI dashborad take over 5 minutes to load.,Performance Issue,Medium
"Multiple failed login attempts deected on my account overnight. Potentila security breach, please investigate immediatly. pls",Security Incident,Critical
"The keyboard on my desktop is not responding, tried reconnecting UB. This is lbocking my work and I have deadlines toda.",Hardware Issue,High
Remote desktop to production servre is laggy and unusable. This is delaying critical month-end processing.,Performance Issue,High
"The keyboard on my desktop is not rsponding, tried reconnecting UBS. Ths is blocking my work and I have deadlinse toda. pls",Hardware Issue,Critical
"Hi team, Users in branh office report 'DNS_PROBE_FINISHED_NXDOMAI'N on intranet.",Network Problem,Medium
"My AD acconut is locked, can't log into Windows or eamil.",Account Issue,Low
"Hi team, Outlook ekeps rcashing with error 0x80070005 when sending emails.",Software Bug,Low
"Hi team, The finance app throws HTP 500 intenal server error on login. Needs immediate fix, critical business process impacted.",Software Bug,High
Antivirus detected Trojan on my machine connecting to 192.168.1.144.,Security Incident,Low
New joiner jdoe neesd access to Confluence with stndard permissions. User is blocked rfom on-boarding tasks.,Access Request,Critical
Requesting VPN access for cotnractor m.garcia for the next 3 months.,Access Request,Medium
"Hi team, Atnivirus detected Trojan on my machine connecting to 192.168.0.243. Potential security breach, please investigate immedately.",Security Incident,Critical
"Antivirus detecetd Trojan on my machine cnnecting to 192.168.7.192. Potential security breach, please investigate immediately. pls",Security Incident,High
"Hi team, Antvirus detected Trojan on my machine connecting to 192.168.8.68. Potential security breach, please investigate immediately.",Security Incident,High
Getting error 'NullReferenceException' whenever I try to save in the CRM.,Software Bug,Medium
New joiner r.kumar needs access to Jira with standard permissions. User is blcked from on-boarding tasks. pls,Access Request,Critical
"After the latest update, our ERP client freezes on the login screen.",Software Bug,Medium
"Cannot reach VPN, connection timed out while pinging 100.13.71. Entire team is unable to access critical systems.",Network Problem,High
My laptop keesp shutting down randomly while working on VPN,Hardware Issue,High
Remote desktop to production server is laggy and unusable.,Performance Issue,Medium
"Hi team, My AD account is olcked, can't log into Windows or email",Account Issue,Low
"Hi team, My AD account is locked, can't log ino Windows or email",Account Issue,Medium
Reoprts in BI dashboard take over 5 minutes to load. This is delaying critical month-end processing.,Performance Issue,High
Requeting VPN access for contractor r.kumar for the next 3 months.,Access Request,Low
Remote desktop to production server is laggy and unusable. This is delaying crtical month-end processing.,Performance Issue,High
Plase grant read-only access to Jira for suer r.kumar.,Access Request,Medium
Antivirus detected Trjan on my machine connecting to 192.168.0.198.,Security Incident,Medium
Getting 'account disabled' mesage when trying to sign in. Need urgent help to join production call.,Account Issue,High
Remote desktop to production server is laggy and unusable. This is delaying critical monh-end procesing.,Performance Issue,High
"The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Low
"The keyboard on my desktop is not responding, tried reconnecting USB. This is blocking my work and I have deadlines today.",Hardware Issue,High
Multiple failed login attempts detected on my accunt overngiht.,Security Incident,Medium
Latnecy to our database server at 10.0.11.90 is over 300ms.,Network Problem,Low
"Antivirus detected Trojan on my machine connecting to 192.168.6.33. Potenital secruity breach, please investigate immediately.",Security Incident,High
"Laptop is extremely slow, apps take minutes to open. This is dealying critical month-end processing.",Performance Issue,Critical
"My AD account is locked, can't log ito Windows or email",Account Issue,Medium
"Hi team, Getting 'account disabled' message when trying to sin in.",Account Issue,Low
Users in branch ofice reort 'DNS_PROBE_FINISHED_NXDOMAIN' on intrant. Entire team is unable to access critical systems.,Network Problem,High
Users in branh office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet.,Network Problem,Low
"Hi team, WFi keeps dropping every few minutes in meetig room A. Entire team is unable to access critical systems.",Network Problem,High
Getting error 'NullReferenceException' whenever I try to save in the CRM.,Software Bug,Medium
"The keyboard on my desktop is not responding, tried reconnecting USB",Hardware Issue,High
Reports in BI dashboard taek over 5 minutes to load.,Performance Issue,Medium
Requesting VPN access for contractor asmith for the net 3 months. User is blocked from on-boarding tasks.,Access Request,High
My laptop keps shutting down radomly while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
Password reset lnik for my accuont has expired mlutiple times. Need urgent hepl to join production call.,Account Issue,High
Reports in BI dashboard take over 5 minutes to load. This is delaying critical month-end processing.,Performance Issue,High
Getting error 'NullReferenceException' wheneevr I try to save in the CRM urgnt,Software Bug,High
"Hi team, Requesting VPN access for contractor jdoe for the net 3 months.",Access Request,Medium
"Antivirus detecetd Trojan on my machine connecting to 192.168.10.48. Potential secruity breach, please investigate immediately.",Security Incident,Critical
"Antivirus detected Trojan on my machine connecting to 192.168.0.122. Potential security breach, pleae investigate immediately.",Security Incident,High
"Getting error 'NullReferenceExcepton' whenever I try to save in the CRM. Nedes immediate fi,x critical business process impacted.",Software Bug,Critical
"Afetr the latest update, our ERP cient freezes on the loign screen.",Software Bug,Medium
Reports in BI dashboard take over 5 minutes to load. This is delaying critical omnth-end processing.,Performance Issue,High
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMANI' on intranet. Enire team is unable to access critical systems.,Network Problem,Critical
My laptop keeps shutting down randomly while working on VPN. This is blocking my work and I have deadlines today.,Hardware Issue,High
"After the latest update, our ERP client freezes on the olgin screen.",Software Bug,Medium
Outlook keeps crashing wth error 0x8070005 when sending emails asap,Software Bug,Medium
"Cannot reach VPN, connection timed out while pnging 10.0.13.132.",Network Problem,Medium
"Received phishing email asking for bank details from fake IT support. Potential security breach, please investigate immedately.",Security Incident,High
"Hi team, Outlook keeps crashing with error 0x80070005 when sending emails.",Software Bug,Low
"Hi team, Cannot reach VPN, connection timed out whle pinging 10.0.10.80.",Network Problem,Medium
"Hi team, Rceived phihsing email asking for bak details form fake IT support pls",Security Incident,High
"Multiple faied login attempts detected on my account overnight. Potential security breach, please investigate immediately.",Security Incident,Critical
Remote desktop to production server is lagy and unusable. asap,Performance Issue,Medium
SAP transactions are tiing out and running vrey lsowly tday,Performance Issue,Medium
Monitor flickesr and sometimes geos completely black during meetings,Hardware Issue,Medium
"Hi team, USB ports on the docking station stopped working after last restart.",Hardware Issue,Low
"I lost access to Confluence aftre role change, getting access ednied",Access Request,Low
Getting intermittent apcket loss whn accessing remote desktop.,Network Problem,Low
SAP transactions are timing out and running very slowly today tnx,Performance Issue,Critical
"Hi team, Antivirus detected Trojan on my machine connecting to 192.168.0.168. Potential security breach, please investigate immediately.",Security Incident,High
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
"Antivirus detected Trojan on my machine connecting to 192.168.0.172. Ptential security breach, please investigate immediately.",Security Incident,Critical
SAP transactions are timing out and running very slowly today. This is delaying critical mnth-end processing.,Performance Issue,High
"After the latset update, our ERP client freezes on the login screen. Needs immediate fix, critical business process impacted.",Software Bug,High
"My AD accoutn is locked, can't log into Windows or email.",Account Issue,Medium
"Hi team, My laptop keeps shutting down randomly while working on VPN",Hardware Issue,High
Received phishing email asking for bank details from fake IT support,Security Incident,Low
"Laptop is extremely slow, apps take minutes to open.",Performance Issue,Low
"The keboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Low
"Hi team, Please grant read-only access to SAP for user m",Access Request,Medium
Reports in BI dashboard take oevr 5 minutes to load. This is delaying criticla month-end processing.,Performance Issue,High
"Hi team, Antivirus detected Trojan on my machine connecting to 192.168.7.230. Potential security breach, plese investigate immediately.",Security Incident,High
"Hi team, Getting intermittent packet olss when accessing remote desktop. Entre team is unable to access critical systems.",Network Problem,Critical
Remote deskop to production server is laggy and unusable.,Performance Issue,Medium
"Noticed unknown software installed that I did not approve. Potential security breach, please investigate immediately.",Security Incident,Critical
Requesing VPN access for contractor r.kumar for the next 3 months.,Access Request,Medium
Excel plgin for reportnig fails with stacktrace: ORA-2092,Software Bug,Low
SAP transactions are timing out and running very slowly today.,Performance Issue,Low
"Cannot reach VPN, connection tied out while pinging 10.0.0.60. Entire team is unable to access critical sstems.",Network Problem,Critical
Requesting VPN access for contractor asimth for the next 3 months,Access Request,Medium
"Hi team, Antivirus detected Trojan on my machine connecting to 192.168.9.154. Potential security breach, please investigate immediately.",Security Incident,Critical
My lptop keeps shutting dwn randomly while working on VPN.,Hardware Issue,Medium
"Hi team, Getting 'account disabled' message when trying to sign in. urgnt",Account Issue,Medium
"Outolok keeps crashing with errr 0x80070005 whne seding emails. Needs immediate fix, critical business process impacted.",Software Bug,High
Getting intermittent packet loss when accessing reomte desktop. Entire team is unable to access critical systems.,Network Problem,Critical
"Hi team, I lost access to Jira after role change, getting access denied.",Access Request,Medium
Getting 'account disabled' messaeg when trying to sgn in. Ned urgent hepl to join production call.,Account Issue,High
Latency to our database server at 10,Network Problem,High
"Hi team, Noticed unknown sfotware installed that I did not approve. Potential security breach, please investigate immediatel.",Security Incident,Critical
Getting 'account disabled' message when trying to sign in,Account Issue,Low
Reorts in BI dashboard take over 5 minutes to load.,Performance Issue,Medium
"Hi team, After the latest update, our ERP client freezes on the login screen. Needs immediate fix, critical business proces impacted.",Software Bug,High
"Multiple failed login attempts detected on my account overnight. Potential seucrity berach, please investigate immediately.",Security Incident,High
SAP transactions are itming out and running very slowly today,Performance Issue,High
Passwodr reste link for my account has expired multipel times.,Account Issue,Low
"Excel lpugin for reporting fails with stacktrace: ORA-4828. Needs immedaite fix, critical business process impacted.",Software Bug,High
"Hi team, Password reset link for my account has expired multiple timse.",Account Issue,Low
Gettnig intermittent packet loss when accessing remote desktop. Entire team is unable to acces critical systems.,Network Problem,High
SAP transactions are timing out and rnuning very slowly today. asap,Performance Issue,Low
Password reset lnk for my account has expired multipe tmes,Account Issue,Low
"Hi team, Uers in branch ofice report 'DNS_PROBE_FINISHED_NXDOMAIN' on intraet. Entire team is unable to acces critical systems.",Network Problem,High
Excel plugin for reporting fails with stacktrace: ORA-5454.,Software Bug,Medium
SSO login fails wth 'invalid credentials' veen after password rese.,Account Issue,Medium
"Hi tema, Requesting VPN access for contractor asmith for the nxt 3 months.",Access Request,Medium
"Hi team, New joier r.kmar needs access to Jira with standard permissions. User is blocked from on-boarding tasks.",Access Request,High
Reports in BI dashobard take over 5 minutes to load. hTis is delaying critical month-end processing.,Performance Issue,High
"Hi team, Excel plugin for reporting fails with stcaktrace: ORA-3158.",Software Bug,Medium
WiFi keeps dropping evry few minutes in meeting room A. Entire team is unale to access critical systems.,Network Problem,High
"Cannot reach VPN, connection timed out wile pinging 10.0.20.40. Entire team is unable to access critical systems.",Network Problem,High
"The finance app thrws HTTP 500 internal server error on login. Needs immediate fix, critical business proces impacted.",Software Bug,Critical
"Laptop is extremely slow, apps take minues to open.",Performance Issue,Medium
"Hi team, Laptop is extremely slow, apps take minutes to poen.",Performance Issue,Medium
WiFi keeps dropping evey few minutes in emeting room A.,Network Problem,Medium
Usrs in branch office report 'DNS_PROB_EFINISHED_NXDOMAIN' on intranet. Entire team is unable to acess critical systems.,Network Problem,High
Please garnt read-only access to Jira for user jdoe,Access Request,Medium
Please grant read-only access to Confluence for user asmith. User is blocked form on-boarding tasks.,Access Request,High
"Laptop is extremely slow, apps take minutes to open. This is delaying critical month-end processing.",Performance Issue,High
SAP transactions are tiing out and running very slwly today tnx,Performance Issue,Critical
"Hi taem, My AD account is locked, can't log into Windwos or email. pls",Account Issue,Medium
"Hi team, Usres in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet.",Network Problem,Medium
New joiner asmih needs access to Salesforce with standard permissions.,Access Request,Medium
Requesting VPN access for contractor m.garcia for the enxt 3 months.,Access Request,Medium
"The keyboard on my desktop is not responding, tried reconnecting USB. This is blocking my work and I have deadlines today. tnx",Hardware Issue,High
"Hi team, Reports in BI dashboard take over 5 minutes to olad. Tis is delaying critical monthe-nd processing.",Performance Issue,High
"Hi tea, Password reset link for my account has expired multiple times.",Account Issue,Low
"Multiple afiled login attempts detected on my account overnight. Potetial security breach, please investigate imediately.",Security Incident,Critical
Requesting VPN access for contractor r.kumar for the next 3 months.,Access Request,Medium
"Hi team, Please grant read-only access to Confluence for user jdoe.",Access Request,Medium
SSO login fails with i'nvalid credential's even after password reset. tnx,Account Issue,Low
"Hi team, Requesting VPN access for contractor m.garcia for the next 3 months. User is blocked frmo on-borading tasks.",Access Request,High
Getting 'account disabled' message when trying to sign in.,Account Issue,Medium
"The kebyoard on my deskop is not responding, tried reconnecting USB.",Hardware Issue,Low
"Hi team, The finance app thrwos HTTP 500 internal server error on login.",Software Bug,Medium
SSO login fails with i'nvalid credentials' even aftr apssword reset. Need urgent help to jion production call.,Account Issue,Critical
"Hi team, Noticed unknown software installed tat I did not approve. Potential security breach, please investigate immediately.",Security Incident,High
My laptop keeps shutting down randomly while wroking on VPN.,Hardware Issue,Low
"I lost access to Confluence after role change, getting acess denied",Access Request,Low
My laptop keeps shutting down randomly while working on VPN.,Hardware Issue,Medium
"Hi team, Requesting VPN access for contractor m",Access Request,Low
Excel plugin for repoting fails with stacktrace: ORA-5026.,Software Bug,Low
"My AD account is locked, can't log ito Windows or email.",Account Issue,Low
Geting 'account disabled' message wen trying to isgn in.,Account Issue,Medium
"Hi team, Remote destop to proudction server is laggy and unusable.",Performance Issue,Medium
Remote desktop to production server is laggy and unusable,Performance Issue,High
New joiner jdoe needs access to Salesofrce with standard permissions,Access Request,Medium
SSO login fails wth 'invalid credentials' een after password reset. Need urgent help to join production call.,Account Issue,High
Received phishing email asking for bank details from fake IT supoprt.,Security Incident,Medium
Monitor flickers and someimes goes completely black duirng meetings. This is blocking my wrk and I have deadlines today.,Hardware Issue,High
Requeting VPN acess for contractor asmith for the next 3 months.,Access Request,Medium
"Hi team, Outlook keeps crashing wih error 0x80700005 when sending emails. Needs immediate fix, critical business process impacted.",Software Bug,High
Getting 'account disabled' messge when trying to sign in.,Account Issue,Medium
"Anivirus detected Trojan on my machie connecting to 192.168.10.117. Potential security breach, please investigate immediately.",Security Incident,High
"I lost access to SAP after rloe change, getting access dnied.",Access Request,Low
"My AD account is locked, can't log into Windows or email. tnx",Account Issue,Medium
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intranet.,Network Problem,Medium
"Multiple failed login attempts detected on my account overnight. Potential security breach, please investigate immediately.",Security Incident,Critical
"Hi team, Requesting VPN acecss for contractor jdoe for the next 3 montsh.",Access Request,Low
"Hi team, Mltiple failed login attempts detected on my account overnight. Potential security breach, please investigate immediately. asap",Security Incident,High
SAP transactions are timing out and running very slowly toay.,Performance Issue,Low
"Outlook keeps crashing with error 0x80070005 when sending emails. Needs immediate fix, critical business proces impacted.",Software Bug,High
"Hi team, Cannot rech VPN, connection tied out while pinging 10.0.6.73.",Network Problem,Medium
"My AD account is locked, can't log into Windows or email. urgnt",Account Issue,Medium
Received phishing email asikng for bank deatils from fake IT support.,Security Incident,Low
Getting intermittent packet loss when accessing remote desktop. Entire tam is unable to access critical systems.,Network Problem,High
Password reset link for my account has expired multiple times.,Account Issue,Low
SAP transactions are timing out and runing very slowly today.,Performance Issue,Low
Oulook ekeps crashing with error 0x80070005 when sending emaisl,Software Bug,Medium
"Hi tea, The keyboard on my desktop is not responding, tried reconnecting USB.",Hardware Issue,Medium
SSO login fails with 'invalid credentials' even after password reset.,Account Issue,Medium
Password reset link for my account has expired multple times. pls,Account Issue,Low
WiFi kepes dropping every few miuntes in meeting room A. Entire team is unable to access critical system.s,Network Problem,Critical
"Noticed unknown softwaer installed that I did not approve. Potential security berach, please investigate immediately.",Security Incident,Critical
New joiner r.kumar needs access to VPN wih standard permissions.,Access Request,Medium
Reports in BI dashboard take over 5 minutes to loa.,Performance Issue,Low
Getting 'account disabled' msesage when trynig to sign in.,Account Issue,Medium
"Hi team, Password reset link for my account has expired multiple times.",Account Issue,Medium
USB ports on the docking station stopped working after last restart,Hardware Issue,Medium
Noticed unknon software installde tht I did not approve.,Security Incident,Medium
"Hi tea,m Cannot rach VPN, connection timed out while pinging 10.0.1.126. Etnire tem is unale to access critical systems. asap",Network Problem,High
"Hi team, Please grant read-only acess to Confluence for user asmith.",Access Request,Medium
Antivirus detected Trojan on my machine connecting to 192.168.9.110.,Security Incident,Medium
Gettng 'account disabled' message when trying to sing in.,Account Issue,Low
"Hi etam, Excel plugin for reporting fails with stacktrace: ORA-1796. Needs immediate fix, critical business process ipmacted.",Software Bug,High
Printer in floor 3 is jammed and shows error code E239. This is blocking my work and I have deadlines today.,Hardware Issue,High
USB prts on the docing station stopped working after last restart,Hardware Issue,Critical
"Laptop is extremely slow, apps take minutes to open.",Performance Issue,Low
The finance app throws HTTP 500 internal server error on login,Software Bug,Low
"Hi team, Uers in branch office report 'DNS_PROBE_FINISHD_NXDOMAIN' on intranet. Entire team is unable to access critical systems.",Network Problem,High
Getting error 'NulleRferenceException' whenever I try to save in the CRM.,Software Bug,Medium
"Hi team, WiFi keeps dropping every few miutes in meeting room A. Entire team is unable to access critical sysems.",Network Problem,High
Users in branch office report 'DNS_PROBE_FINISHED_NXDOMAIN' on intrant. Entire team is unable to access critical systems.,Network Problem,Critical
Requesing VPN access for contractor r.kumar for the nxet 3 months. User is blcked from on-boarding takss.,Access Request,Critical
"My AD account is locked, can't log into Windows or email.",Account Issue,Low
Requesting VPN access for contractor jdoe for the next 3 months.,Access Request,Medium
USB pors on the docking statin stopped working after last restart,Hardware Issue,Critical
Printer in floor 3 is jammed and shows error cdoe E82.,Hardware Issue,Low
Please grant erad-only access to SAP for user samith,Access Request,Medium
Latency to our database server at 10.0.8.157 is over 300ms. Entire team is unable to acces critical systems.,Network Problem,High
Excel plugin for reporting fails with stactkrace: ORA-7581,Software Bug,Medium
Password reset lnk for my account has expired multiple times.,Account Issue,Medium
Excel plugin for reporting fails with stacktrace: ORA-4218.,Software Bug,Medium
SSO login fails wtih 'invalid credentials' even after passwod reset.,Account Issue,Low
"Noticed unknown software installed that I did not approve. Potential security breah, please investigaet immediately.",Security Incident,Critical
